title,original,type,kids,age_rating,popularity,year,seasons,episodes,genres,audio,subtitles,cover,url,description
"""Wuthering Heights""","""Wuthering Heights""",movie,,14,24.9,2026,2,14,drama; romance; european,Portuguese (Brazil); Spanish (Latin America); English; Portuguese (Brazil) - Audio Description; English - Audio Description; Spanish (Spain); Czech; Russian; Polish; French; French - Audio Description; Ukrainian; Slovak; German; Hungarian; Italian,English - CC; Portuguese (Brazil) - CC; Spanish (Latin America) - CC; Portuguese (Brazil); Spanish (Latin America); English - SDH; Spanish (Spain); Dutch; Croatian; Czech; Bulgarian; Danish; Romanian (Moldova); Russian; French; Polish; Serbian (Latin); Lithuanian; Norwegian (Bokmål); Macedonian; Latvian; Ukrainian; Slovak; Slovenian; Estonian; Greek; Portuguese; Finnish; German - SDH; Hebrew; Icelandic; Hungarian; Swedish; Italian - SDH,https://images.cdn.prd.api.discomax.com/WezZi/pC4XdyhHHwX27MJdw.jpeg,https://play.hbomax.com/movie/a0e6f4e3-0462-4fef-88b5-ff68036d3998,"From Warner Bros. Pictures and award-winning filmmaker Emerald Fennell comes ""Wuthering Heights"", starring Margot Robbie and Jacob Elordi."
#BringBackAlice,#BringBackAlice,series,,14,0.8,2023,1,8,drama; european,Hungarian; Polish - Original; Portuguese (Brazil); English; Spanish (Spain); English - Audio Description; Spanish (Latin America); Czech,Slovenian; Danish; Serbian (Latin); Macedonian; Hungarian; Czech; Norwegian (Bokmål); Bulgarian; Swedish; Croatian; English; Spanish (Spain); English - SDH; Dutch; Finnish; Spanish (Latin America); Portuguese (Brazil); Romanian (Moldova); Polish - SDH; Portuguese; Turkish; Greek; Latvian; Estonian; Lithuanian; Polish,https://images.cdn.prd.api.discomax.com/yL1xh/hOarj_7EnAKGzaDfg.jpeg,https://play.hbomax.com/show/bf045a44-5c27-47d9-8815-d94006edbc61,Missing social media influencer Alicja returns with no memory of the past year and helps the drug-dealing brother of a missing teen find his sister.
1 Girl Infinite,1 Girl Infinite,movie,,16,0.0,2025,2,5,drama,Czech; Hungarian; Polish,English; Bulgarian; Romanian (Moldova); Czech; Hungarian; Macedonian; Serbian (Latin); Croatian; Slovenian; Polish,https://images.cdn.prd.api.discomax.com/R4_Nk/tU0hz6eVsvxzbVGLw.jpeg,https://play.hbomax.com/movie/176f9c51-bfce-4ed1-8053-dbe42b2557ba,"When Yin Jia's close friend Tong Tong falls in with a drug dealer, Yin Jia's love for her means she'll risk everything to keep Tong Tong by her side."
100 Day Dream Home,100 Day Dream Home,series,,AL,1.4,2019,1,6,food-home,Czech; English - Original; Bulgarian; Hungarian; Russian; Spanish (Spain); Italian,Romanian (Moldova); Hungarian; Portuguese; Estonian; Croatian; Slovak; Dutch; Serbian (Latin); English; Slovenian; Bulgarian; Macedonian; Czech; Greek; English - SDH; Spanish (Spain) - SDH; Spanish (Spain); Swedish; Danish; Norwegian (Bokmål),https://images.cdn.prd.api.discomax.com/Nmvvo/Ij5a1ZfnVB0LXuOjg.jpeg,https://play.hbomax.com/show/13858956-7bce-4fcf-90e7-b5743de71427,Brian and Mika Kleinschmidt help clients build dream homes in 100 days.
100 Days Wild,100 Days Wild,series,,9,0.2,2020,1,7,adventure-survival,English - Original,Serbian (Latin); Macedonian; Croatian; Slovenian; English - SDH,https://images.cdn.prd.api.discomax.com/2RQvZ/qWSiGlYlj_TDO0j6A.jpeg,https://play.hbomax.com/show/bd72ab33-a15f-4f1d-b1a3-c4bbebea736c,Strangers journey to Alaska chasing dreams of an off-grid community.
100 Foot Wave,100 Foot Wave,series,,12,2.4,2021,12,16,documentaries; sports,Spanish (Spain) - Original; English - Original; English - Audio Description; Polish; Spanish (Spain); French; English,Spanish (Spain); Serbian (Latin); Macedonian; Croatian; Slovenian; English; Hungarian; Bulgarian; Lithuanian; Estonian; Polish; Swedish; Czech; Finnish; Latvian; Danish; Romanian (Moldova); Portuguese; Dutch; French; Hebrew; Greek; Ukrainian; Russian; Turkish; Slovak; Norwegian (Bokmål); Italian; German,https://images.cdn.prd.api.discomax.com/CzNKY/MMd7dzGrHVfPhsi0g.jpeg,https://play.hbomax.com/show/34e489ad-2eca-4078-adb6-6d2b521b407e,"Surfing pioneer Garrett McNamara's quest to conquer a 100-foot wave and its transformation of Nazare, Portugal, is detailed in this series."
100 Years of Warner Bros.,100 Years of Warner Bros.,series,,12,3.7,2023,1,5,documentaries,English - Original; English - Audio Description; Polish,Slovenian; Croatian; Macedonian; Serbian (Latin); English; Spanish (Spain); Dutch; Finnish; Slovak; Portuguese; Czech; Hungarian; Bulgarian; Polish; English - CC; Romanian (Moldova); Danish; Swedish; French; Latvian; Lithuanian; Estonian,https://images.cdn.prd.api.discomax.com/pFkaH/2joaY4OodbNWTrgsQ.jpeg,https://play.hbomax.com/show/a42f0ac9-7799-4691-897d-27bca7c97c28,"These documentary specials explore the unparalleled global impact of Warner Bros. on art, commerce & culture. Watch our favorites on Max or WB100.com."
1000% Me: Growing Up Mixed,1000% Me: Growing Up Mixed,movie,yes,AL,0.2,2023,4,14,documentary,Spanish (Spain); English - Audio Description; English - Original; Polish,Croatian; Romanian (Moldova); Serbian (Latin); Hungarian; Slovenian; Spanish (Spain); Bulgarian; Danish; Norwegian (Bokmål); Finnish; Dutch; Macedonian; Swedish; Portuguese; Polish; English; Estonian; Lithuanian; Latvian,https://images.cdn.prd.api.discomax.com/hah8g/rzUP7iRRJ4xCX9Y4g.jpeg,https://play.hbomax.com/movie/4328f1cc-ef10-4ea6-817a-182030b1007c,Multiracial children and their families share the joys and struggles of growing up mixed in the Bay Area.
1000-lb Best Friends,1000-lb Best Friends,series,,12,1.0,2022,3,8,reality,English - Original,Macedonian; Serbian (Latin); Slovenian; English - SDH; Croatian,https://images.cdn.prd.api.discomax.com/L_N5N/YIDijxQCfNStn7evw.jpeg,https://play.hbomax.com/show/7e416da7-c52e-41fe-8a61-10df6d37385f,"Four larger-than-life best friends battle morbid obesity using hard work, heart and a wicked sense of humor."
1000-lb Roomies,1000-lb Roomies,series,,9,0.4,2025,1,6,reality,English - Original; Spanish (Spain); Lithuanian; Russian; Polish; French,Spanish (Spain) - SDH; Danish; Swedish; Norwegian (Bokmål); Dutch; Greek; Macedonian; Portuguese; Serbian (Latin); Slovenian; Croatian; Slovak; Latvian; English; Estonian; Bulgarian; Romanian (Moldova); Czech; Hungarian; Polish; Hebrew; French,https://images.cdn.prd.api.discomax.com/gXCo-/pe9hRwUho5eHO-SSQ.jpeg,https://play.hbomax.com/show/af9e24b8-65f8-4515-88a9-2c6b1874e874,"Larger-than-life roommates Nesha and Jaz tackle life, love and losing weight as they bond over food and their shared love of Jaz's daughter, Nana."
1000-lb Sisters,1000-lb Sisters,series,,9,3.1,2020,8,6,reality,English - Original; Bulgarian; Russian; Hungarian; Czech,Macedonian; Slovenian; English - SDH; Croatian; Serbian (Latin); Greek; Russian - SDH; Portuguese; Estonian; Latvian; Hebrew; Romanian (Moldova),https://images.cdn.prd.api.discomax.com/CJdsr/ixkZyQD3UtxJCCvgQ.jpeg,https://play.hbomax.com/show/08ebaa74-41f1-41d8-9273-fdd7a7e8994c,"Tipping the scales at over 1,000 pounds combined, the Slaton sisters try to lose enough weight to qualify for life-changing bariatric surgery."
11 Shots,11 Shots,series,,9,0.3,2022,1,11,crime; documentaries; european,Polish; Spanish (Spain) - Original,Swedish; Romanian (Moldova); Portuguese; Bulgarian; Finnish; Croatian; Dutch; Danish; Hungarian; Slovenian; Polish; Macedonian; Serbian (Latin); Norwegian (Bokmål); Czech; Spanish (Spain); Lithuanian; Latvian; Estonian,https://images.cdn.prd.api.discomax.com/9SP2L/Adw5TZvAVL3USXZVA.jpeg,https://play.hbomax.com/show/df8bc584-b2f9-44f2-8d7f-e29de09a36bd,The time has come to enter the darker side of football -- the side that the fan is unaware of.
12th & Delaware,12th & Delaware,movie,,16,0.2,2010,1,2,documentary,English - Original; Polish,Dutch; Serbian (Latin); Slovenian; Macedonian; Finnish; Czech; Romanian (Moldova); Polish; Norwegian (Bokmål); English; Swedish; Hungarian; Croatian; Bulgarian; Danish,https://images.cdn.prd.api.discomax.com/UV0Rv/NwPUYqbN5mWu-jzYQ.jpeg,https://play.hbomax.com/movie/a5e710e8-884b-478c-9b9f-c4e9b771b7a3,A look at the abortion debate through a Florida town where a clinic and a pro-life outfit stand on opposite sides of an intersection.
15 Minutes of Shame,15 Minutes of Shame,movie,,12,0.2,2021,6,6,documentary,English - Original; Spanish (Spain); Polish,Croatian; Macedonian; Dutch; Portuguese; Finnish; Serbian (Latin); Norwegian (Bokmål); Spanish (Spain); Polish; Bulgarian; Hungarian; Czech; Danish; Romanian (Moldova); Slovenian; Swedish; English,https://images.cdn.prd.api.discomax.com/lE-9P/XrXVMBpPZZY9EpmCw.jpeg,https://play.hbomax.com/movie/947a228c-f675-4ea2-b479-f6c5055dc17a,Monica Lewinsky and filmmaker Max Joseph (Catfish) examine the human price of public shaming and cyber-harassment.
15 Years,15 Years,movie,,12,0.0,2024,1,1,drama; european,German - Original; Polish; Hungarian; Czech,English; Hungarian; Czech; Macedonian; Serbian (Latin); Croatian; Slovenian; Romanian (Moldova); Polish; Bulgarian,https://images.cdn.prd.api.discomax.com/T32lO/EHVEG8CXFINks4wPw.jpeg,https://play.hbomax.com/movie/d9f5760f-4519-42f4-b679-0afbc1372f9a,"After 15 years in prison for a murder she did not commit, pianist Jenny learns that her lover, once responsible for her ordeal, has become a pop star."
2 Dope Queens,2 Dope Queens,series,,12,1.8,2018,2,4,comedy,English - Original; Polish,Finnish; Swedish; Macedonian; Dutch; Polish; Bulgarian; Serbian (Latin); Slovenian; Danish; Croatian; Portuguese; Hungarian; Norwegian (Bokmål); English; Romanian (Moldova); Czech,https://images.cdn.prd.api.discomax.com/WEuap/igKXK8JreNBys_y5A.jpeg,https://play.hbomax.com/show/837a88c6-0361-41dd-8d3c-da2ebb051b00,"The hit comedy podcast ""2 Dope Queens,"" featuring hosts Jessica Williams and Phoebe Robinson, comes to HBO."
2012,2012,movie,,12,12.1,2009,0,2,action; fantasy,Czech; English - Original; English - Audio Description; Polish; Hungarian; French,Hungarian; Croatian; Macedonian; English; Dutch; Serbian (Latin); Romanian (Moldova); Czech; Slovenian; Bulgarian; French; Polish,https://images.cdn.prd.api.discomax.com/5nRdE/gvQpPFc4qJdiZsr_w.jpeg,https://play.hbomax.com/movie/78415642-c904-4883-9007-12d895741b04,Roland Emmerich directs this apocalyptic thriller based on the prophecy of the ancient Mayan calendar which stated that the world would end in 2012.
21 Jump Street,21 Jump Street,movie,,12,24.5,2012,0,1,action; comedy,Slovak; English - Original; Polish; Hungarian; Czech; Polish - Audio Description; Czech - Audio Description; Hungarian - Audio Description,Macedonian; Serbian (Latin); Croatian; Slovenian; Czech; Bulgarian; English; Polish; Romanian (Moldova); Hungarian,https://images.cdn.prd.api.discomax.com/RTa9x/l0en7vEDyGfj26oDA.jpeg,https://play.hbomax.com/movie/67fd63cf-e247-45c2-8932-07fd2a745a36,Two youthful-looking cops come face-to-face with all the teen angst they thought long gone when they work undercover at a high school.
22 Jump Street,22 Jump Street,movie,,12,6.9,2014,0,4,action; comedy,English - Original; Czech; Hungarian; Czech - Audio Description; Slovak; Polish; Polish - Audio Description; Hungarian - Audio Description,Bulgarian; Slovenian; Czech; Serbian (Latin); Hungarian; English; Romanian (Moldova); Polish; Croatian; Macedonian,https://images.cdn.prd.api.discomax.com/AI043/fur6ozjAA4IPcVvvA.jpeg,https://play.hbomax.com/movie/8278df88-4b15-4e17-a1ed-fd3fe459712d,Big changes are in store for officers Schmidt and Jenko as they go deep undercover at a local college in pursuit of a group of drug dealers.
28 Days Later,28 Days Later,movie,,16,12.2,2003,0,7,horror; fantasy; european,Czech; English - Original; Hungarian; Polish; Slovak,Hungarian; Croatian; Romanian (Moldova); Serbian (Latin); Macedonian; English; Slovenian; Bulgarian; Portuguese; Czech; Polish; Slovak; Finnish; Danish; Norwegian (Bokmål); Swedish,https://images.cdn.prd.api.discomax.com/MLFNT/N0WINwNJhCQsvyq3Q.jpeg,https://play.hbomax.com/movie/058dd1e2-66b7-4637-aa80-e1cf99d3499d,"Danny Boyle directs Cillian Murphy as Jim, a man who wakes up from a 28-day coma to find a London ravaged by a mysterious virus."
28 Weeks Later,28 Weeks Later,movie,,16,7.7,2007,11,9,horror; fantasy; european,Czech; Hungarian; English - Original; Slovak; Polish,Croatian; Serbian (Latin); English; Macedonian; Slovenian; Czech; Bulgarian; Romanian (Moldova); Polish; Slovak; Hungarian,https://images.cdn.prd.api.discomax.com/D6MqU/9Px1bw0hD5O3HIkOQ.jpeg,https://play.hbomax.com/movie/b7b66574-c6e3-4ed3-a266-6bc44180252e,"Twenty-eight weeks after the outbreak, refugees return to Britain... only to face a deadlier, airborne strain of the rage virus."
28 Years Later,28 Years Later,movie,,16,18.3,2025,11,19,horror; fantasy,Hungarian; English - Original; English - Audio Description; Czech; Polish; Slovak,English; Czech; Bulgarian; Romanian (Moldova); Macedonian; Serbian (Latin); Croatian; Polish; Slovenian; Hungarian; Slovak,https://images.cdn.prd.api.discomax.com/zWA-t/oHTSeKETlyGnXXwxA.jpeg,https://play.hbomax.com/movie/da8e6bbe-e81f-46ea-93a5-d0dfc81b252f,Danny Boyle directs this terrifying installment where a new strain of the virus has turned the infected into even more deadly creatures.
