"Title","OriginalTitle","Type","SR_HR_Audio","AudioCategory","BCS_Audio_Languages","SR_HR_Subtitles","Genres","WatchURL"
"A Brief Excursion","","movie","yes","native","Croatian - Original","yes","drama","https://play.hbomax.com/movie/aa7aea9e-6246-4f8c-9bdb-46473123c29a"
"All the Best","","movie","yes","native","Croatian","yes","romance, comedy, european","https://play.hbomax.com/movie/a43b5e6c-006c-4f6c-9cf3-eb9c11e82a71"
"Awake","","series","yes","native","Serbian (Cyrillic)","no","crime, european, drama","https://play.hbomax.com/show/b32745f5-1f61-46a7-82f3-9931681eca4d"
"Baci se na pod","","movie","yes","native","Croatian - Original","no","european, drama","https://play.hbomax.com/movie/a261fd2b-3ba8-4db4-85f6-7362fee25750"
"Bitka kod Siska 1593. godine","","movie","yes","native","Croatian - Original","yes","documentary","https://play.hbomax.com/movie/ee5f47c8-76f0-464b-a215-f7dfd6f755f9"
"Children of Evil","","series","yes","native","Serbian (Cyrillic)","no","drama, european","https://play.hbomax.com/show/58a4c296-7c77-4712-8894-9a9cf81bffff"
"Comic Sans","","movie","yes","native","Croatian - Original","no","comedy, european","https://play.hbomax.com/movie/aa989bbe-1acf-4232-90d2-a9d72f72d2b7"
"Daddy","","movie","yes","native","Croatian - Original","yes","drama, european","https://play.hbomax.com/movie/da24602f-a4bb-4993-be8c-fc010b4c9133"
"Djecak","","movie","yes","native","Croatian - Original","yes","drama","https://play.hbomax.com/movie/bf7a8782-35bb-4ebc-bd49-e84fc1ab9d2f"
"Dnevnik Pauline P.","","movie","yes","native","Croatian - Original","no","family, european","https://play.hbomax.com/movie/b6595e2d-a8f6-4379-9d50-ad0bdcf9586c"
"Dra?en","","movie","yes","native","Croatian - Original","yes","sports, drama","https://play.hbomax.com/movie/8280d6c7-eb23-43db-8720-ed231b4b17fb"
"Even Pigs Go to Heaven","","movie","yes","native","Croatian","no","comedy, european","https://play.hbomax.com/movie/02fc9a59-100c-460a-9743-5e807f5f9c8a"
"Fine Dead Girls","","movie","yes","native","Croatian - Original","yes","drama","https://play.hbomax.com/movie/0f5af727-8da5-4fd5-976c-f42291fab195"
"Frka","","movie","yes","native","Croatian - Original","yes","drama, comedy","https://play.hbomax.com/movie/275d1921-0770-46a6-a5b1-51cbf78d6833"
"Golden Boy","","series","yes","native","Serbian (Cyrillic); Serbian (Cyrillic) - Original","no","sports, drama, european","https://play.hbomax.com/show/600f6882-4ca6-45dc-8e97-ee4443dc5554"
"Good Times, Bad Times","","movie","yes","native","Croatian - Original","yes","drama","https://play.hbomax.com/movie/a1c7438e-d295-4bbe-87a4-455d110d7c91"
"Hotel Pula","","movie","yes","native","Croatian","yes","drama, romance","https://play.hbomax.com/movie/c923204b-bc82-4cdc-8fd4-05ed71289182"
"Hush...","","movie","yes","native","Croatian","yes","drama, european","https://play.hbomax.com/movie/7cff74bb-bb11-48be-9182-5845fc0e7694"
"Ivan's Game","","movie","yes","native","Croatian - Original","yes","sports, documentary","https://play.hbomax.com/movie/a7fe5d3e-67dd-4cc7-96ce-cba3952b8847"
"Izgubljeni Dream Team","","movie","yes","native","Croatian - Original","yes","sports, documentary","https://play.hbomax.com/movie/0f4caa71-2482-4568-a3a1-5ac3e89ac682"
"Jan","","movie","yes","native","Bosnian - Original","no","drama, romance, european","https://play.hbomax.com/movie/8f320f16-1cd0-4d51-ad11-455762219859"
"Juzina","","movie","yes","native","Serbian (Cyrillic); Croatian","yes","drama, comedy, european","https://play.hbomax.com/movie/a013bb9a-36d4-4c71-9d8f-649a95291952"
"Legacy","","series","yes","native","Serbian (Cyrillic)","yes","action, crime, european","https://play.hbomax.com/show/3b9ded4a-6b00-4430-9a76-9ce6bd9853b7"
"Life Is a Trumpet","","movie","yes","native","Croatian - Original","yes","drama, comedy","https://play.hbomax.com/movie/162c6f1a-b68c-46ae-9184-d3f58ad77511"
"Love or Death","","movie","yes","native","Croatian - Original","no","drama, family, european","https://play.hbomax.com/movie/1f852966-f7e9-49e1-859b-203cf36a864b"
"Mali","","movie","yes","native","Croatian - Original","yes","drama","https://play.hbomax.com/movie/9f3ea1a8-892a-4e7e-9f2e-4bb1bb1dbed4"
"Megdan: Between Water and Fire","","movie","yes","native","Serbian (Cyrillic)","yes","sports, action","https://play.hbomax.com/movie/9e819fce-8730-473e-82ea-2ca305667f89"
"Mother of Asphalt","","movie","yes","native","Croatian - Original","yes","drama, european","https://play.hbomax.com/movie/eb7508fb-97e3-4540-9f84-4a1c005805e9"
"My Late Summer","","movie","yes","native","Croatian - Original","yes","drama, romance, comedy, european","https://play.hbomax.com/movie/c295977f-03c4-48c2-bf24-6fecdb225284"
"Novine","","series","yes","native","Croatian - Original","yes","crime, drama, european","https://play.hbomax.com/show/c68d556c-06df-4427-a3a5-2c77d65aca31"
"One Shot","","movie","yes","native","Croatian","yes","drama, european","https://play.hbomax.com/movie/c886aa02-d234-4bcc-b836-c367c8261a28"
"Only When I Laugh","","movie","yes","native","Croatian - Original","yes","drama, european","https://play.hbomax.com/movie/496058d5-ec38-4030-a093-88427c0f8074"
"Operation Sabre","","series","yes","native","Serbian (Cyrillic)","yes","crime, drama, european","https://play.hbomax.com/show/389bcae0-2a09-4cac-9dd4-60595957e92c"
"Po tamburi","","movie","yes","native","Croatian - Original","yes","action, comedy, european","https://play.hbomax.com/movie/cee10a37-f9d9-4d47-9a0e-0a9475ad5244"
"Polako nikuda","","movie","yes","native","Croatian - Original","yes","drama","https://play.hbomax.com/movie/ca979bad-6fdf-4524-981d-8249c6496964"
"Proslava","","movie","yes","native","Croatian - Original","yes","drama","https://play.hbomax.com/movie/1331a281-6a47-44ab-8c08-deee1644ac32"
"Salsa","","movie","yes","native","Croatian - Original","yes","horror, comedy","https://play.hbomax.com/movie/6a47ff20-18e4-490d-818b-2e0bb366024c"
"Sami","","movie","yes","native","Croatian - Original","yes","drama, european","https://play.hbomax.com/movie/450390fd-e044-4094-b8d2-92d2d1189c0b"
"Sedmo nebo","","movie","yes","native","Croatian - Original","no","comedy, european","https://play.hbomax.com/movie/c94dcf4e-26eb-4c65-83bb-5f1a8a516a18"
"?uma Summarum","","movie","yes","native","Croatian","yes","comedy, european","https://play.hbomax.com/movie/49c6d687-4775-4d25-ba8c-051a3eed9d04"
"Tereza 37","","movie","yes","native","Croatian - Original","no","drama","https://play.hbomax.com/movie/67a928c8-6bac-491e-a165-08e89b60d89a"
"The Avalanche","","movie","yes","native","Croatian - Original","yes","comedy, european","https://play.hbomax.com/movie/d32dcfc1-dcb2-40e9-8cfb-a362e5c22b75"
"The Blue Lions","","movie","yes","native","Serbian (Cyrillic)","yes","documentary, sports","https://play.hbomax.com/movie/76388fef-e510-4252-b8dd-0ef7b2b96d37"
"The Diary of Diana B","","movie","yes","native","Croatian - Original","yes","drama, european","https://play.hbomax.com/movie/505dcbba-9542-4aa7-97cb-1998b7d112be"
"The Eighth Commissioner","","movie","yes","native","Croatian - Original","yes","drama, comedy, european","https://play.hbomax.com/movie/db05ed84-f413-4929-879a-5dca873a9654"
"The Last Serb in Croatia","","movie","yes","native","Croatian - Original","yes","horror, comedy","https://play.hbomax.com/movie/593ab976-70a0-4c9e-9f88-8791c2bc3db6"
"The Man Who Could Not Remain Silent","","movie","yes","native","Croatian - Original","yes","drama, european","https://play.hbomax.com/movie/2e6292ba-6958-49c6-ace9-b15c4e3bb366"
"The Mysterious Boy","","movie","yes","native","Croatian - Original","no","family","https://play.hbomax.com/movie/34e52f3d-0d06-4448-b7c8-45ab247a0729"
"The Mystery of Green Hill","","movie","yes","native","Croatian - Original","no","family, european","https://play.hbomax.com/movie/3a5de5d4-3d23-41e7-8c4b-5128673137fd"
"The Reaper","","movie","yes","native","Croatian - Original","no","drama, european","https://play.hbomax.com/movie/3352ff85-7231-4a2d-aebe-807932b56ad1"
