language,audio_titles,subtitle_titles
Serbian (Latin),0,2295
Serbian (Cyrillic),24,0
Croatian,126,2284
Bosnian,2,0
Russian,327,104
English,1938,2186
Polish,1729,1743
Hungarian,1200,1711
Czech,1184,1679
Slovenian,84,2309
Macedonian,0,2298
Bulgarian,184,1832
Romanian (Moldova),40,1815
Spanish (Spain),703,703
Dutch,21,1099
French,458,607
Swedish,14,927
Danish,13,926
Finnish,5,911
Portuguese,17,894
Norwegian (Bokmål),0,848
Latvian,37,639
Estonian,3,672
Lithuanian,52,587
Turkish,230,375
Slovak,190,201
Greek,4,356
Italian,131,173
German,116,160
Spanish (Latin America),119,152
Hebrew,6,256
Portuguese (Brazil),105,153
Ukrainian,92,115
English - CC,0,190
Spanish (Latin America) - CC,0,74
Icelandic,6,66
Catalan,17,12
Japanese,27,0
Portuguese (Brazil) - CC,0,23
Mandarin,6,0
No Linguistic Content,6,0
Norwegian,6,0
French Canadian,3,0
Georgian,3,0
Spanish (Argentinian),3,0
Thai,3,0
Afrikaans,2,0
Hindi,2,0
Kazakh,2,0
Armenian,1,0
Basque,0,1
Cantonese,1,0
Filipino,1,0
Flemish,1,0
Galician,1,0
Khmer,1,0
Luxembourgish,1,0
Punjabi,1,0
